"id";"disease";"Serotype";"Region";"Subregion";"country";"region";"city";"city_init";"lat";"lng";"Diagnosis.source";"Diagnosis.status";"Animal.type";"host";"ObservationDate";"ReportDate";"Humans.affected";"Human.deaths"
0;"Influenza - Avian";"H5N1 HPAI";"Asia";;"India";"Gujarat";;"Hathijan  Asha Foundation";"22.56";"72.39";"OIE";"Confirmed";"Domestic";"Avian";"12/31/16";"08/01/17";;
1;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"BARS";"43.510955";"0.30315";"OIE";"Confirmed";"Domestic";"Duck";"12/31/16";"09/01/17";;
2;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"Belloc -Saint-clamens";"43.4575";"0.436111";"OIE";"Confirmed";"Domestic";"Duck";"12/31/16";"01/13/17";;
3;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"Magnan";"43.7697";"-0.121667";"OIE";"Confirmed";"Domestic";"Duck";"12/31/16";"01/13/17";;
4;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Germany";"Niedersachsen";;"Wardenburg";"53.02";"8.23";"OIE";"Confirmed";"Domestic";"Turkey";"12/31/16";"09/01/17";;
5;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Germany";"Niedersachsen";;"Garrel";"52.99";"8.1";"OIE";"Confirmed";"Domestic";"Turkey";"12/31/16";"09/01/17";;
6;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Germany";"Niedersachsen";;"Garrel";"52.99";"8.1";"OIE";"Confirmed";"Domestic";"Turkey";"12/31/16";"09/01/17";;
7;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Fujian Sheng";;"Putian";"25.433";"119.017";"National authorities";"Confirmed";;"Avian";"12/31/16";"07/01/17";;
8;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Zhejiang Sheng";;"Taizhou";"28.667";"121.35";"National authorities";"Confirmed";;"Avian";"12/31/16";"01/20/17";;
9;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Hunan Sheng";;"Yiyang";"28.55";"112.35";"National authorities";"Confirmed";;"Avian";"12/31/16";"12/01/17";;
10;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Zhejiang Sheng";;"Lishui";"28.45";"119.916667";"National authorities";"Confirmed";;"Avian";"12/31/16";"01/20/17";;
11;"Influenza - Avian";"H5N6 HPAI";"Asia";;"South Korea";"Jeollanam-do";;"Yeongam-gun";"34.89409";"126.688113";"OIE";"Confirmed";"Domestic";"Duck";"12/31/16";"04/14/17";;
12;"Influenza - Avian";"H5N6 HPAI";"Asia";;"South Korea";"Kyonggi-do";;"Cheonan-si";"36.88054";"127.238209";"OIE";"Confirmed";"Domestic";"Chicken";"12/31/16";"04/14/17";;
13;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Gloucestershire";"51.74101";"-2.40376";"OIE";"Confirmed";"Wild";"Greylag Goose";"12/30/16";"09/01/17";;
14;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Gloucestershire";"51.74101";"-2.40376";"OIE";"Confirmed";"Wild";"branta Bernicla";"12/30/16";"09/01/17";;
15;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Gloucestershire";"51.74101";"-2.40376";"OIE";"Confirmed";"Wild";"anas Penelope";"12/30/16";"09/01/17";;
16;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Gloucestershire";"51.74101";"-2.40376";"OIE";"Confirmed";"Wild";"Anser Albifrons";"12/30/16";"09/01/17";;
17;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Merseyside";"53.67278";"-2.9761";"OIE";"Confirmed";"Wild";"anas Platyrhynchos";"12/30/16";"09/01/17";;
18;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Merseyside";"53.67278";"-2.9761";"OIE";"Confirmed";"Wild";"Phalacrocorax Carbo";"12/30/16";"09/01/17";;
19;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Merseyside";"53.67278";"-2.9761";"OIE";"Confirmed";"Wild";"Chroicocephalus Ridibundus";"12/30/16";"09/01/17";;
20;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Merseyside";"53.67278";"-2.9761";"OIE";"Confirmed";"Wild";"Aythya Ferina";"12/30/16";"09/01/17";;
21;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Lincolnshire";"52.93096";"0.018298";"OIE";"Confirmed";"Wild";"anas Penelope";"12/30/16";"09/01/17";;
22;"Influenza - Avian";"H5N8 HPAI";"Europe";;"United Kingdom";"England";;"Meiniau";"52.93096";"0.018298";"OIE";"Confirmed";"Domestic";"Avian";"12/30/16";"09/01/17";;
23;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"MANCIET";"43.817891";"0.058506";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
24;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Aquitaine";;"RENUNG";"43.745522";"-0.369461";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
25;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"SAUVIAC";"43.409553";"0.45731";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
26;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"VIELLA";"43.600497";"-0.139146";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
27;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"SAINT MARTIN";"43.507781";"0.373761";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
28;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"SEGOS";"43.629733";"-0.261588";"OIE";"Confirmed";"Domestic";"Chicken";"12/30/16";"09/01/17";;
29;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"L’ISLE DE NOE";"43.585031";"0.414434";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
30;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Aquitaine";;"SAINT AGNET";"43.605439";"-0.271186";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
31;"Influenza - Avian";"H5N8 HPAI";"Europe";;"France";"Midi-Pyrenees";;"SAINT MICHEL";"43.431456";"0.404942";"OIE";"Confirmed";"Domestic";"Duck";"12/30/16";"09/01/17";;
32;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Poland";"Podkarpackie";;"Krosno";"49.691694";"21.768472";"OIE";"Confirmed";"Domestic";"Avian";"12/30/16";"09/01/17";;
33;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Poland";"Malopolske";;"Koryto";"50.324778";"20.488706";"OIE";"Confirmed";"Domestic";"Avian";"12/30/16";"09/01/17";;
34;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Romania";"Iasi";;"Zaboloteni";"47.47802";"27.49717";"OIE";"Confirmed";"Wild";"cygnus Olor";"12/30/16";"10/01/17";;
35;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Jiangxi Sheng";;"Jingdezhen";"29.3";"117.2";"National authorities";"Confirmed";;"Avian";"12/30/16";"12/31/16";;"1"
36;"Influenza - Avian";"H7N9 HPAI";"Asia";;"China";"Guangdong Sheng";;"Zhaoqing";"23.05";"112.466667";"National authorities";"Confirmed";;"Avian";"12/30/16";"01/17/17";;
37;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Anhui Sheng";;"Bozhou";"33.754444";"115.885278";"National authorities";"Confirmed";;"Avian";"12/30/16";"01/20/17";;
38;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Zhejiang Sheng";;"Wenzhou";"27.505806";"120.397057";"National authorities";"Confirmed";;"Avian";"12/30/16";"01/20/17";;
39;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Jiangsu Sheng";;"Suzhou";"31.304368";"120.585938";"National authorities";"Confirmed";;"Avian";"12/30/16";"01/20/17";;
40;"Influenza - Avian";"H7N9 LPAI";"Asia";;"China";"Zhejiang Sheng";;"Wenzhou";"27.505806";"120.397057";"National authorities";"Confirmed";;"Avian";"12/30/16";"01/20/17";;
41;"Influenza - Avian";"H5N8 HPAI";"Europe";;"Ireland";"Galway";;"Co. Galway";"53.26";"-8.93";"OIE";"Confirmed";"Wild";"anas Penelope";"12/30/16";"01/23/17";;
42;"Influenza - Avian";"H5N6 HPAI";"Asia";;"Japan";"Ibaraki";;"Mito-shi";"36.365866";"140.471206";"OIE";"Confirmed";"Wild";"cygnus Atratus";"12/30/16";"04/18/17";;
